,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
2639,Sports Flashes Pvt. Ltd,2015,Delhi,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball","Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",None,None,1000000.0,validation,2018-01-01
2640,Inc42,2015,Delhi,"Media and Entertainment, News, Publishing",Inc42 is one of the leading tech media publications of India.,None,None,0.0,validation,2018-01-01
2641,Picxy,2015,Guntur,Internet,"A stock photo startup based in Amravati, Andhra Pradesh.",None,None,130000.0,validation,2018-01-01
2642,Huddle,2015,Haryana,Consulting,A coworking incubator Company.,None,None,300000.0,validation,2018-01-01
2643,Benepik,2015,Gurgaon,Human Resources and HR Technology,HR Technology start-up.,None,None,0.0,validation,2018-01-01
2644,Cash Suvidha,2015,Delhi,Financial Services,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,None,None,1000000.0,validation,2018-01-01
2645,Smartcoin,2015,Bangalore,"Big Data, Financial Services, Machine Learning, Predictive Analytics",Providing financial access to the millions of mobile users in India using alternative credit assessment,None,None,2000000.0,validation,2018-01-01
2646,Carmel Organics,2015,Indore,"Agriculture, AgTech, Manufacturing","Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",None,None,0.0,early traction,2018-01-01
2647,Roadcast,2015,Delhi,"Agriculture, AgTech, Manufacturing",Transforming the way businesses deliver. Work-force & fleet mobility tools.,None,None,250000.0,validation,2018-01-01
2648,Printline Media(ThePrint),2015,Delhi,"Digital Media, News, Publishing",A digital news platform.,None,None,0.0,validation,2018-01-01
2649,Creditas Solutions,2015,Gurgaon,Financial Services,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,None,None,0.0,validation,2018-01-01
2650,UrbanPiper,2015,Bangalore,Computer Software,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,None,None,0.0,validation,2018-01-01
2651,Doxper,2015,Mumbai,"Health Care, Hospital",Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,None,None,0.0,validation,2018-01-01
2652,i2ifunding,2015,Noida,"Crowdfunding, Finance, Financial Services",i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,None,None,0.0,validation,2018-01-01
2653,ShakeDeal,2015,Bangalore,"B2B, E-Commerce, Enterprise",Home of B2B Commerce,None,None,0.0,validation,2018-01-01
2654,HelloVerify,2015,Noida,"Fraud Detection, Information Services, Security",HelloVerify is an online background check platform.,None,None,0.0,validation,2018-01-01
2655,Fasal,2015,Bangalore,"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Climate Smart Precision Agriculture Platform,None,None,120000.0,validation,2018-01-01
2656,CoinGeto,2015,Delhi,"Cryptocurrency, Trading Platform",CoinGeto is one of India’s most advanced digital assets exchange.,None,None,0.0,validation,2018-01-01
2657,Avail Finance,2015,Bangalore,"Finance, FinTech, Mobile Payments",Avail is a mobile-first platform aiming to financially include the urban mass of India.,None,None,17200000.0,early traction,2018-01-01
2658,Tripeur,2015,Bangalore,Information Technology,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,None,None,600000.0,validation,2018-01-01
2659,Wedeterna,2015,Bangalore,Wedding,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",None,None,0.0,validation,2018-01-01
