,company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
143,RACEnergy,2018,Hyderabad,Automotive,RACEnergy is working to power the future of mobility through clean and efficient technologies.,Arun Sreyas Reddy,Micelio Fund,1300000.0,validation,2021-01-01
144,BharatPe,2018,Delhi,Fintech,The vision to make financial inclusion a reality for Indian merchants.,"Ashneer Grover, Shashvat Nakrani",IIFL Wealth,20000000.0,others,2021-01-01
145,Gyde,2019,Pune,Computer Software,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.","Prasanna Vaidya, Shubham Deshmukh",Better Capital,250000.0,validation,2021-01-01
146,BatteryPool,2018,Pune,Automotive,Building the Operating System for managing Electric Vehicles in fleets.,Ashwin Shankar,IAN,0.0,validation,2021-01-01
147,AgNext,2016,Chandigarh,Agricultural Technology,"AgNext is a fast-growing AgTech company that aims to solve quality and trust in food value chains by making them safer, transparent and fairer.",Taranjeet Singh Bhamra,Alpha Wave Incubation,21000000.0,early traction,2021-01-01
148,Xpresslane,2019,Bangalore,Technology Startup,"Xpresslane makes checkout fast and easy. With a unified identity across all e-commerce merchants, it brings efficiency and perfection in the overall checkout experience of the user.",Ashwin Koorakula,Point One Capital,400000.0,validation,2021-01-01
149,LoanKuber,2016,Delhi,Financial Services,LoanKuber is the lowest cost lender to Yest-to be Bankable - enabling borrowing with trust and confidence.,Saurabh Nagpal,None,1200000.0,early traction,2021-01-01
150,OYO,2013,Gurgaon,Hospitality,OYO is a global travel tech company that connects its patrons and guests.,itesh Agarwal,Microsoft,5000000.0,early traction,2021-01-01
151,Rapido,2015,Bangalore,Information Technology,Rapido is a bike taxi service spread widely across all of India from Tier 1 to Tier 3 cities.,"Aravind Sanka, Pavan Guntupalli, SR Rishikesh",Shell Ventures,52000000.0,others,2021-01-01
152,YPay,2017,Noida,Fintech,YPay Card is the new way to manage money.,Dr Navneet Gupta,We Founder Circle,400000.0,others,2021-01-01
153,SleepyCat,2017,Mumbai,Furniture and Home Decor,An online sleep solutions company that believes in delivering luxurious sleep to everyone.,Kabir Siddiq,Saama Capital,3800000.0,others,2021-01-01
154,Ultrahuman,2020,Bangalore,Healthcare,Ultrahuman is a global health and fitness platform that aids our user to achieve their true physical and mental potential.,"Mohit Kumar, Vatsal Singhal",Tiger Global’s Scott Schleifer,17500000.0,others,2021-01-01
155,UpScalio,2021,Gurgaon,Business-to-Business E-commerce,"UpScalio is India’s next generation, data-driven consumer goods company.",Gautam Kshatriya,None,42000000.0,others,2021-01-01
156,Yellow Class,2020,Gurgaon,Education Technology,"Yellow Class is a new-age fun-learning platform where kids between 2-12 years can learn from a wide range of classes like dancing, drawing, personality development, creative writing and so on","Anshul Gupta, Arpit Mittal",levation Capital,6000000.0,others,2021-01-01
157,Yojak,2019,Gurgaon,Business-to-Business E-commerce,India’s first B2B online marketplace for building material.,Anuj Jain,Info Edge Ventures,3800000.0,others,2021-01-01
158,CreatorStack,2019,Bangalore,Computer Software,Helping creators globally to engage deeply with their fans and communities,"Ankit Acharya, Kevin William David",Accel,2000000.0,others,2021-01-01
159,Expertrons,2019,Mumbai,Education Technology,The world's largest AI Videobot platform providing futuristic solutions for businesses & colleges and employment,"Jatin Solank, Vivek Gupta",Venture Catalysts,2300000.0,others,2021-01-01
160,Rage Coffee,2018,Delhi,Food and Beverages,"Rage Coffee is a digitally native FMCG company that manufactures, markets & distributes innovative coffee products.",Bharat Sethi,Sixth Sense Ventures,5000000.0,others,2021-01-01
161,Klub,2019,Bangalore,Financial Services,Klub was founded with the vision of revolutionizing growth capital for Asia’s most loved brands.a,"Anurakt Jain, Ishita Verma",9Unicorns,20000000.0,others,2021-01-01
162,Navia Life Care,2016,Delhi,Healthcare,Navia Life Care is a health technlogy company with a special focus on patient care.,"Nupur Khandelwal, Kunal Kishore Dhawan, Gaurav Gupta",Anicut Angel Fund,1000000.0,others,2021-01-01
163,1K Kirana Bazaar,2018,Gurgaon,Retail,India's First and Largest Network of Small-Town Kirana Stores,"Abhishek Halder, Anilesh Yadav, Kumar Sangeetesh",Info Edge,7000000.0,others,2021-01-01
164,Zupee,2018,Gurgaon,Gaming,"Mission to improve people’s lives by improving their learning ability, skills and mental aptitude through scientifically designed mental exercises, applications","Dilsher Singh, Siddhant Saurabh",WestCap Group,30000000.0,others,2021-01-01
165,Locale.ai,2019,Bangalore,Analytics and Data Science,Location Analytics for Companies With Moving Assets and Ground Operations.,"ishabh Jain, Aditi Sinha",Chiratae Ventures,1000000.0,others,2021-01-01
166,VerSe Innovation,2018,Bangalore,Media and Entertainment,"The core of the company (VerSe Innovation), is the idea that technology can help bridge the digital divide.",Umang Bedi,Siguler Guff,450000000.0,others,2021-01-01
167,MetroRide,2020,Bangalore,Transportation and Mobility,"Urban Mobility Affordable, Punctual & Sustainable.","Girish Nagpal, Kaaman Agarwal",None,0.0,others,2021-01-01
168,Miko,2015,Mumbai,Consumer Goods and Services,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Sneh R Vaswani, Prashant V Iyengar, Chintan S Raikar",IIFL AMC,28000000.0,others,2021-01-01
169,Whiz League,2020,Delhi,Education Technology,Revolutionizing learning experience that goes beyond academia,"Natasha Jain, Sonia Agarwal Bajaj",ITI Growth Opportunities,300000.0,others,2021-01-01
170,Hash,2020,Delhi,Tobacco,Hash is a new startup in consumer goods.,Shwetank Jain,Amrac Investment Trust,3500000.0,others,2021-01-01
171,Unacademy,2015,Bangalore,Education Technology,Unacademy aims to build the world's largest online knowledge repository for multi-lingual education.,"Gaurav Munjal, Hemesh Singh, Roman Saini",Bhavin Turakhia,0.0,others,2021-01-01
172,Log 9 Materials,2014,Bangalore,Deep Technology,Log9 Materials is on a mission to make global energy 100% clean.,"Akshay Singhal, Kartik Hajela",Amara Raja Batteries,8500000.0,early traction,2021-01-01
173,upGrad,2015,Mumbai,Education Technology,"upGrad is India’s largest online higher education company providing programs in Data Science, Technology, Management and Law, to students, working professionals and enterprises.","Phalgun Kompalli, Ronnie Screwvala, Mayank Kumar",India Infoline FiNonece,25000000.0,others,2021-01-01
174,FlashPrep,2020,Bangalore,Education Technology,FlashPrep is the smart way to master learning.,"Dhiresh Nagwani, Ashwini Dhekane",Venture Highway,500000.0,validation,2021-01-01
175,Kenko Health,2019,Mumbai,Insurance,"A unique healthcare financing solution focusing on ROI, affordability and superior customer experience","Aniruddha Sen, Dhiraj Goel",BEENEXT,1700000.0,early traction,2021-01-01
176,Wiz Freight,2020,Chennai,Supply Chain and Logistics,"Wiz is a tech-enabled freight forwarding platform. We make global shipping efficient, hassle-free and highly visible for businesses.","amkumar Govindarajan, Ramkumar Ramachandran",Axilor,3500000.0,validation,2021-01-01
177,Credgenics,2018,Delhi,Financial Services,Credgenics is India’s first of it's kind NPA resolution platform backed by credible investors including Accel Partners and Titan Capital.,"ishabh Goel, Mayank Khera, Anand Agrawal",Westbridge Capital,25000000.0,early traction,2021-01-01
178,BlueLearn,2020,Goa,Education Technology,"Building India's largest student community. Learn, network, and grow together with 40,000+ students!","Harish Uthayakumar, Shreyans Sancheti",100X.VC﻿,400000.0,validation,2021-01-01
179,NimbleBox.ai,2018,Chennai,Machine Learning Operations,A full-stack MLOps platform built to create & launch multi-cloud apps on the cloud,"Anshuman Pandey, Rohan Pooniwala",Venture Catalysts,1000000.0,validation,2021-01-01
180,Pickrr,2015,Gurgaon,Supply Chain and Logistics,India's 1st Virtual Logistics solution catering to Global Brands/SMEs/Online sellers/AmazonSellers,"hitiman Majumdar, Gaurav Mangla, Ankit Kaushik",IIFL,12000000.0,early traction,2021-01-01
181,Stellaris Venture Partners,2015,Bangalore,Venture Capital,Early-stage tech VC in India.,"itesh Banglani, Alok Goyal, Rahul Chowdhri",None,225000000.0,others,2021-01-01
182,Grip Invest,2020,Gurgaon,Financial Services,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.","Nikhil Aggarwal, Vivek Gulati",Venture Highway,3000000.0,early traction,2021-01-01
183,Heads Up For Tails,2008,Delhi,Pet Care and Veterinary Services,"A one stop shop for all pet products with paw prints all across India, we design, manufacture and customize stylish",ashi Sanon,Verlinvest,37000000.0,early traction,2021-01-01
184,Blue Tokai Coffee Roasters,2012,Delhi,Food and Beverages,"Source, roast, and brew India's best single-origin Arabica coffee.","Matt Chitharanjan, Shivam Shahi, Namrata Asthana",Anicut Angel Fund,2000000.0,early traction,2021-01-01
185,Neeman,2017,Hyderabad,Consumer Goods and Services,India's first Startup to use the world's most revolutionary Natural & Renewable fibers in Footwear,Taran Chhabra,Sixth Sense Ventures,2000000.0,early traction,2021-01-01
186,BharatPe,2018,Delhi,Fintech,"BharatPe launched India’s first UPI interoperable QR code, first ZERO MDR payment acceptance service, and first UPI payment backed merchant cash advance service.","Ashneer Grover, Shashvat Nakrani",Tiger Global,370000000.0,early traction,2021-01-01
187,GoSats,2020,Bangalore,Fintech,GoSats is a bitcoin stacking app that lets users earn bitcoin cashbacks when they shop with our partnered merchants.,"Mohammed Roshan, Roshni Aslam",Alphabit Fund,700000.0,validation,2021-01-01
188,StockGro,2020,Bangalore,Fintech,Making Investment Social- India's First Social Trading Platform,Ajay Lakhotia,oots Ventures,5000000.0,early traction,2021-01-01
189,Onsurity,2020,Bangalore,Healthcare,"Onsurity is a HealthTech & Employee Benefits organization, disrupting the SME and startup healthcare market with technology and innovation!","Yogesh Agarwal, Kulin Shah",Nexus Venture Partners,16000000.0,early traction,2021-01-01
190,Khabri,2017,Gurgaon,Media and Entertainment,Khabri is India’s fastest growing vernacular audio platform targeted at next billion internet users.,"Pulkit Sharma, Aankit Roy, Sandeep Singh",None,2000000.0,early traction,2021-01-01
191,Celcius,2020,Mumbai,Supply Chain and Logistics,Celcius is a asset light startup with a web and app based SaaS platform which brings the complete cold chain solution network ONLINE,Swarup Bose,Mumbai Angels Network,500000.0,others,2021-01-01
192,AyuRythm,2017,Bangalore,Healthcare,AyuRythm is the world's first completely digital solution for personalized holistic wellness based on Ayurvedic principles.,Abhilesh Gupta,SucSEED Indovation Fund,0.0,validation,2021-01-01
193,Enguru,2014,Bangalore,Education Technology,Enguru provides a personalized & gamified English learning solution to prepare young adults for the workplace.,"Arshan Vakil, Tahem Veer Verma, Udit Hinduja",Potencia Ventures,0.0,early traction,2021-01-01
194,Rocket Skills,2020,Gurgaon,Education Technology,Rocket Skills is the #1 Platform for learning skills which will bring a high positive impact on your business and life skills.,"Vibhu Bahuguna, Mohit Jain",Better Capital,200000.0,validation,2021-01-01
195,RenewBuy,2015,Gurgaon,Fintech,"Simplify insurance and aim to take it to the last Indian, through our digitally enabled POSP advisors.",Balachander Sekhar,volvence Capital,10000000.0,early traction,2021-01-01
196,Faarms,2020,Bangalore,Agricultural Technology,FAARMS™ is a new age digital platform which aims to offer a one-stop solution to farmers.,"Taranbir Singh, Alok Duggal",None,2000000.0,validation,2021-01-01
197,UrbanMatrix Technologies,2019,Chennai,Drone Technology,Helping Industries & Organizations to seamlessly adopt drones in their workflow to elevate efficiency & profitability,"ishabh Verma, Ashutosh Kumar, Divyanshu Pundir",SARA ELGI,100000.0,others,2021-01-01
198,Jupiter,2019,Mumbai,Financial Services,"A digital banking experience that keeps pace with you, and helps master money too.",Jitendra Gupta,Nubank,44000000.0,early traction,2021-01-01
199,Pixuate,2012,Bangalore,Deep Technology,"Pixuate enables intelligent business process automation through advanced computer vision, AI and machine learning.","Akshata Kari, Prathvi Palekar",SucSEED Indovation Fund,1000000.0,validation,2021-01-01
200,Playo,2014,Bangalore,Sports and Sports Technology,Playo is a one stop destination app for all things sports,Daanish Suhail,ah! Ventures High Tables,500000.0,early traction,2021-01-01
201,Toothsi,2018,Mumbai,Healthcare,India’s first and largest at home smile makeover service using invisible aligners.,"Dr Arpi Mehta, Dr Pravin Shetty, Dr Manjul Jain, Dr Anirudh Kale",ight Roads Ventures,20000000.0,early traction,2021-01-01
202,Soothe Healthcare,2012,Delhi,Consumer Goods and Services,"Soothe is a consumer goods company engaged in manufacture, marketing & distribution of Personal Hygiene products.",Sahil Dharia,A91 Partners,10000000.0,early traction,2021-01-01
203,Goodmeetings,2020,Bangalore,Computer Software,AI-Based Platform Built Exclusively for Remote Selling,Srinivasan Narayan,Chiratae Ventures,1700000.0,early traction,2021-01-01
204,Apnaklub,2020,Bangalore,Wholesale,Apnaklub is India's most trusted wholesale platform that empowers people to set up their own retail and sales businesses by providing better-than-industry margins,"Shruti, Manish Kumar",Sequoia’s Surge,3500000.0,validation,2021-01-01
205,ChefKart,2020,Gurgaon,Consumer Goods and Services,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.","Vaibhav Gupta, Arpit Gupta, Aman Gupta",Lead Angels,300000.0,validation,2021-01-01
206,Fashinza,2020,Gurgaon,Fashion and Lifestyle,A new-age supply chain and product development platform for the fashion industry.,"Pawan Gupta, Abhishek Sharma",Accel Partners,20000000.0,early traction,2021-01-01
207,Fabheads,2015,Chennai,Industrial Automation,Fabheads is a hardware startup creating automation equipment to manufacture high-end carbon fiber parts.,Dhinesh Kanagaraj,Inflection Point Ventures,0.0,early traction,2021-01-01
208,QuickShift,2016,Pune,Supply Chain and Logistics,"Helping D2C brands scale with our AI powered Dashboard that manages Inventory, Order Processing, WMS, Shipping, Customer Support",Anshul Goenka,Anicut Angel Fund,770000.0,validation,2021-01-01
